name,apparent magnitude,latitude,longitude,x,y,z,r,g,b
,5.94,-0.00882455923100853,-2.986488559090636,53.839659,8.418363,-0.480897,1.0,0.9741333333333333,0.98136
,6.04,-0.9568221859601812,-2.9864526925745074,40.283101,6.300177,-57.845984,1.0,0.8998666666666667,0.7730604132231406
,5.51,-0.8377738710935937,-2.9858830171066564,23.016158,3.613111,-25.875905,1.0,0.9718666666666667,0.9742438842975206
,6.32,0.23050680368148996,-2.984890797426898,36.123796,5.707449,8.58262,1.0,0.9644,0.9511404132231405
,6.45,-0.2613287597663492,-2.9842834228472035,110.048493,17.455865,-29.799858,1.0,0.8916,0.7530461983471075
,6.06,-0.39867391968695387,-2.9840140312771584,44.484919,7.068461,-18.973503,0.956225,0.951675,0.0
,5.08,0.9454178032019224,-2.9839093115220385,95.089068,15.119543,133.345676,0.7500525,0.8098525000000001,0.0
,5.78,1.052891077015991,-2.982524654559969,48881.119216,7841.684763,86885.810971,0.95495,0.95085,0.0
,6.43,-1.1366359887839586,-2.98177747910719,87.984852,14.18249,-192.20854,1.0,0.8653333333333333,0.6936694214876032
,5.14,0.7764723227099466,-2.9811350234095313,133.123811,21.545864,132.469946,1.0,0.8217333333333333,0.6065423553719008
,5.89,0.2658437520083333,-2.9810724533558473,303.333338,49.113713,83.669867,0.7201725,0.7847725,0.0
,4.34,0.5885135744125949,-2.9806698058974117,150.645938,24.453844,101.857872,0.7341306249999999,0.796430625,0.0
,3.69,0.9406785186977645,-2.980275012420611,105.743565,17.207892,146.901502,0.69211,0.7617099999999999,0.0
,6.18,0.419125740221701,-2.9796267971364205,101.633623,16.606638,45.880732,1.0,0.8773333333333333,0.72
,6.4,-0.9493512342838495,-2.9788249056115914,84.36344,13.854394,-119.388808,1.0,0.9006666666666666,0.7750309917355371
,5.57,-0.4322703558705384,-2.9786505472193174,13.799451,2.268712,-6.452147,1.0,0.938,0.8736095041322315
,5.45,0.6178378460130253,-2.978606564922167,208.916915,34.355297,150.460822,1.0,0.9152,0.811865785123967
,6.43,0.05472219815569673,-2.977932431498584,219.901976,36.314033,12.208684,1.0,0.8548,0.6716604132231405
,4.34,0.5115865644747404,-2.9733598433912842,43.176578,7.332959,24.588338,1.0,0.9172,0.8170885123966942
,6.43,-0.4382141095447901,-2.9722390802121157,244.536039,41.813637,-116.252875,1.0,0.8357333333333333,0.634444958677686
,5.45,0.8614000790185756,-2.9707036268026736,411.466483,71.007709,486.381503,1.0,0.81395,0.5657355371900827
,3.27,0.5386264793369905,-2.969993103264187,27.363473,4.742224,16.595166,1.0,0.8642666666666666,0.6913937190082645
,5.88,0.3708907040028644,-2.96983576183212,10.155576,1.761632,4.008362,1.0,0.92,0.8244628099173554
,6.38,1.4397877592565826,-2.967954995030171,4.278989,0.75041,32.970427,1.0,0.9598666666666666,0.9373661983471074
,6.0,-0.7818428055380882,-2.9676458099531797,65.810595,11.564463,-66.345493,1.0,0.8810666666666667,0.7284647933884298
,5.36,0.3741723244223417,-2.9673819161702784,116.482876,20.500398,46.442414,1.0,0.8786666666666667,0.72300826446281
,5.89,-1.0376785952693908,-2.965229139804406,12.486498,2.225749,-21.493045,1.0,0.9581333333333333,0.9321500826446281
,6.49,-0.288270377685127,-2.96498121578416,138.188353,24.662609,-41.624489,1.0,0.912,0.8035867768595042
Shedir,2.24,0.9867625762398582,-2.9648476980963823,37.984817,6.784483,58.379619,1.0,0.8773333333333333,0.72
,6.14,-0.4154734642289777,-2.9646762194973744,26.014694,4.651118,-11.658473,1.0,0.9376,0.8724846280991736
,5.9,-0.07595395397328256,-2.9639782623295017,141.825516,25.458519,-10.965479,1.0,0.8878666666666667,0.744215785123967
,5.3,0.6886836052381557,-2.9621736791494024,82.664742,14.992827,69.15353,1.0,0.9145333333333333,0.8101331404958678
